变量名,typeSeqID,weight,group,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,choice1,choice1_tw,choice1_en,choice1_vn,choice1_kr,choice1_pt,choice1_th,choice2,choice2_tw,choice2_en,choice2_vn,choice2_kr,choice2_pt,choice2_th,choice3,choice3_tw,choice3_en,choice3_vn,choice3_kr,choice3_pt,choice3_th,choice4,choice4_tw,choice4_en,choice4_vn,choice4_kr,choice4_pt,choice4_th,answer,imgID
127,3,50,309,甜冷美后擅长强大的踢技，但有一个致命的弱点：,甜冷美後擅長強大的踢技，但有一個致命的弱點：,"Tsareenahe is good at powerful kicking skills, but has a fatal weakness:",,,,,头顶王冠部位被触碰，力量便会消失,頭頂王冠部位被觸碰，力量便會消失,"When the crown on the top of the head is touched, the power will disappear","When the crown on the top of the head is touched, the power will disappear","When the crown on the top of the head is touched, the power will disappear","When the crown on the top of the head is touched, the power will disappear","When the crown on the top of the head is touched, the power will disappear",当白色花瓣缺少时力量消失,當白色花瓣缺少時力量消失,"When the white petals are missing, the power disappears","When the white petals are missing, the power disappears","When the white petals are missing, the power disappears","When the white petals are missing, the power disappears","When the white petals are missing, the power disappears",被大家冷漠的时候，力量会变弱,被大家冷漠的時候，力量會變弱,"When to be ignored by people, power will weaken","When to be ignored by people, power will weaken","When to be ignored by people, power will weaken","When to be ignored by people, power will weaken","When to be ignored by people, power will weaken",光照时间少，力量会变弱,光照時間少，力量會變弱,"When the light time is less, the power will be weaken","When the light time is less, the power will be weaken","When the light time is less, the power will be weaken","When the light time is less, the power will be weaken","When the light time is less, the power will be weaken",1,
128,3,50,310,以下关于性别的描述错误的是？,以下關於性別的描述錯誤的是？,What is wrong with the following description of gender?,,,,,巴大蝶母的是蓝色的，公的是粉色的,巴大蝶母的是藍色的，公的是粉色的,"The female butterfly is blue, the male is pink","The female butterfly is blue, the male is pink","The female butterfly is blue, the male is pink","The female butterfly is blue, the male is pink","The female butterfly is blue, the male is pink",皮卡丘 母的尾巴末端呈爱心图案,皮卡丘 母的尾巴末端呈愛心圖案,Female Pikachu has a heart pattern at the end of her tail,Female Pikachu has a heart pattern at the end of her tail,Female Pikachu has a heart pattern at the end of her tail,Female Pikachu has a heart pattern at the end of her tail,Female Pikachu has a heart pattern at the end of her tail,拉帝欧斯只有雄性的,拉帝歐斯只有雄性的,Latios is only male,Latios is only male,Latios is only male,Latios is only male,Latios is only male,雄性轻飘飘身体是蓝色的，雌性轻飘飘身体是红色的,雄性輕飄飄身體是藍色的，雌性輕飄飄身體是紅色的,"The male body is blue, while the female body is red.","The male body is blue, while the female body is red.","The male body is blue, while the female body is red.","The male body is blue, while the female body is red.","The male body is blue, while the female body is red.",1,
129,3,50,311,哪只精灵因为在特定温度开花而被用做温度计？,哪只精靈因為在特定溫度開花而被用做溫度計？,Which Pokémon is used as a thermometer because it blooms at a certain temperature?,,,,,毽子花,毽子花,Skiploom,Skiploom,Skiploom,Skiploom,Skiploom,霸王花,霸王花,Vileplume,Vileplume,Vileplume,Vileplume,Vileplume,喇叭芽,喇叭芽,Bellsprout,Bellsprout,Bellsprout,Bellsprout,Bellsprout,妙蛙种子,妙蛙種子,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,1,
130,3,50,312,哪只精灵尾巴发出的亮光常常作为迷途者的路标？,哪只精靈尾巴發出的亮光常常作為迷途者的路標？,Which Pokémon's tail can glow that is often used as a signpost for the lost?,,,,,电龙,電龍,Ampharos,Ampharos,Ampharos,Ampharos,Ampharos,皮卡丘,皮卡丘,Pikachu,Pikachu,Pikachu,Pikachu,Pikachu,灯笼鱼,燈籠魚,Chinchou,Chinchou,Chinchou,Chinchou,Chinchou,长尾怪手,長尾怪手,Aipom,Aipom,Aipom,Aipom,Aipom,1,
131,1,50,113,【常识】电子计算机发明于哪一年？,【常識】電子計算機發明於哪一年？,[Common sense] In which year was the electronic computer invented?,,,,,1946年,1946年,In 1946,In 1946,In 1946,In 1946,In 1946,1948年,1948年,1948,1948,1948,1948,1948,1951年,1951年,In 1951,In 1951,In 1951,In 1951,In 1951,1941年,1941年,In 1941,In 1941,In 1941,In 1941,In 1941,1,
132,1,50,113,【常识】企鹅一般在几月份产卵？,【常識】企鵝一般在幾月份產卵？,[Common Sense] In what month do penguins lay eggs?,,,,,5月,5月,May,May,May,May,May,4月,4月,April,April,April,April,April,11月,11月,November,November,November,November,November,12月,12月,December,December,December,December,December,1,
133,1,50,113,【常识】地球的年龄约有？,【常識】地球的年齡約有？,[Common Sense] What is the age of the earth?,,,,,46亿年,46億年,4.6 billion years,4.6 billion years,4.6 billion years,4.6 billion years,4.6 billion years,48亿年,48億年,4.8 billion years,4.8 billion years,4.8 billion years,4.8 billion years,4.8 billion years,41亿年,41億年,4.1 billion years,4.1 billion years,4.1 billion years,4.1 billion years,4.1 billion years,56亿年,56億年,5.6 billion years,5.6 billion years,5.6 billion years,5.6 billion years,5.6 billion years,1,
134,1,50,113,【常识】哈雷彗星绕太阳运行的周期约为？,【常識】哈雷彗星繞太陽運行的周期約為？,[Common Sense] What is the period of Halley's comet orbiting the sun?,,,,,76年,76年,76 years,76 years,76 years,76 years,76 years,72年,72年,72 years,72 years,72 years,72 years,72 years,74年,74年,74 years,74 years,74 years,74 years,74 years,78年,78年,78 years,78 years,78 years,78 years,78 years,1,
136,1,50,119,【常识】七大洲中面积第二的是？,【常識】七大洲中面積第二的是？,[Common Sense] Which area is the second largest among the seven continents?,,,,,非洲,非洲,Africa,Africa,Africa,Africa,Africa,大洋洲,大洋洲,Oceania,Oceania,Oceania,Oceania,Oceania,南极洲,南極洲,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,亚洲,亞洲,Asia,Asia,Asia,Asia,Asia,1,
137,1,50,119,【常识】围棋棋盘共有几个交叉点？,【常識】圍棋棋盤共有幾個交叉點？,[Common sense] How many intersections are there on the Go board?,,,,,361,361,361,361,361,361,361,324,324,324,324,324,324,324,441,441,441,441,441,441,441,289,289,289,289,289,289,289,1,
138,1,50,120,【常识】被称为"国际会议之都"的城市是？ ,【常識】被稱為"國際會議之都"的城市是？ ,[Common Sense] Which city is called the "International Conference Capital"?  ,,,,,日内瓦,日內瓦,Geneva,Geneva,Geneva,Geneva,Geneva,纽约,紐約,New York,New York,New York,New York,New York,德黑兰,德黑蘭,Tehran,Tehran,Tehran,Tehran,Tehran,里约热内卢,裏約熱內盧,Rio de Janeiro,Rio de Janeiro,Rio de Janeiro,Rio de Janeiro,Rio de Janeiro,1,
139,1,50,120,【常识】直接汇入大西洋最长的河流是？,【常識】直接匯入大西洋最長的河流是？,[Common Sense] What is the longest river directly into the Atlantic Ocean?,,,,,亚马逊河,亞馬遜河,Amazon River,Amazon River,Amazon River,Amazon River,Amazon River,尼罗河,尼羅河,The Nile,The Nile,The Nile,The Nile,The Nile,密西西比河,密西西比河,Mississippi River,Mississippi River,Mississippi River,Mississippi River,Mississippi River,刚果河,剛果河,Congo River,Congo River,Congo River,Congo River,Congo River,1,
140,1,50,120,【常识】好莱坞位于美国什么州？,【常識】好萊塢位於美國什麽州？,[Common Sense] What state is Hollywood located in?,,,,,加利福尼亚州,加利福尼亞州,California,California,California,California,California,科罗拉多州,科羅拉多州,Colorado,Colorado,Colorado,Colorado,Colorado,明尼苏达州,明尼蘇達州,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,阿拉斯加州,阿拉斯加州,Alaska,Alaska,Alaska,Alaska,Alaska,1,
141,1,50,124,【常识】参加第一届古代奥运会的国家有？,【常識】參加第一屆古代奧運會的國家有？,[Common Sense] Which countries participated in the first ancient Olympic Games?,,,,,3个,3個,3,3,3,3,3,1个,1個,One,One,One,One,One,2个,2個,Two,Two,Two,Two,Two,5个,5個,Five,Five,Five,Five,Five,1,
142,1,50,124,【常识】血液占成人自身体重的多少？,【常識】血液占成人自身體重的多少？,[Common Sense] How much does blood account for an adult's own body weight?,,,,,7-8%,7-8%,7-8%,7-8%,7-8%,7-8%,7-8%,4-5%,4-5%,4-5%,4-5%,4-5%,4-5%,4-5%,10-15%,10-15%,10-15%,10-15%,10-15%,10-15%,10-15%,1-2%,1-2%,1-2%,1-2%,1-2%,1-2%,1-2%,1,
143,1,50,124,【常识】美国微软公司的总部设在,【常識】美國微軟公司的總部設在,[Common Sense] The headquarters of Microsoft Corporation of the United States is located in,,,,,美国西部,美國西部,Western America,Western America,Western America,Western America,Western America,美国东部,美國東部,Eastern United States,Eastern United States,Eastern United States,Eastern United States,Eastern United States,美国中部,美國中部,Central America,Central America,Central America,Central America,Central America,美国南部,美國南部,Southern United States,Southern United States,Southern United States,Southern United States,Southern United States,1,
144,1,50,124,【常识】世界上最好的咖啡产于,【常識】世界上最好的咖啡產於,[Common sense] The best coffee in the world is produced in,,,,,牙买加,牙買加,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,巴西,巴西,Brazil,Brazil,Brazil,Brazil,Brazil,哥伦比亚,哥倫比亞,Colombia,Colombia,Colombia,Colombia,Colombia,埃塞俄比亚,埃塞俄比亞,Ethiopia,Ethiopia,Ethiopia,Ethiopia,Ethiopia,1,
145,2,50,230,【常识】欧洲最大的半岛在？,【常識】歐洲最大的半島在？,[Common Sense] Where is the largest peninsula in Europe?,,,,,北欧,北歐,Northern Europe,Northern Europe,Northern Europe,Northern Europe,Northern Europe,东欧,東歐,Eastern Europe,Eastern Europe,Eastern Europe,Eastern Europe,Eastern Europe,西欧,西歐,Western Europe,Western Europe,Western Europe,Western Europe,Western Europe,中欧,中歐,Central Europe,Central Europe,Central Europe,Central Europe,Central Europe,1,
146,2,50,230,【常识】夏威夷在地理位置上属于哪个洲？,【常識】夏威夷在地理位置上屬於哪個洲？,[Common Sense] Which continent does Hawaii belong to geographically?,,,,,大洋洲,大洋洲,Oceania,Oceania,Oceania,Oceania,Oceania,北美洲,北美洲,North America,North America,North America,North America,North America,南美洲,南美洲,South America,South America,South America,South America,South America,亚洲,亞洲,Asia,Asia,Asia,Asia,Asia,1,
147,2,50,230,【常识】国际马拉松跑的赛程是,【常識】國際馬拉松跑的賽程是,[Common sense] How long is the international marathon run,,,,,42195m,42195m,42195m,42195m,42195m,42195m,42195m,42000m,42000m,42000m,42000m,42000m,42000m,42000m,42125m,42125m,42125m,42125m,42125m,42125m,42125m,42105m,42105m,42105m,42105m,42105m,42105m,42105m,1,
148,2,50,230,【常识】牛的年轮长在,【常識】牛的年輪長在,[Common sense] Where are the growth rings of the cow,,,,,牙齿上,牙齒上,On the teeth,On the teeth,On the teeth,On the teeth,On the teeth,牛蹄上,牛蹄上,On the hooves,On the hooves,On the hooves,On the hooves,On the hooves,腹部,腹部,Belly,Belly,Belly,Belly,Belly,牛角上,牛角上,Horns,Horns,Horns,Horns,Horns,1,
149,2,50,234,【常识】《白雪公主》的作者是谁？,【常識】《白雪公主》的作者是誰？,[Common Sense] Who is the author of "Snow White"?  ,,,,,格林兄弟,格林兄弟,Brother Grimm,Brother Grimm,Brother Grimm,Brother Grimm,Brother Grimm,安徒生,安徒生,Andersen,Andersen,Andersen,Andersen,Andersen,佚名,佚名,Anonymous,Anonymous,Anonymous,Anonymous,Anonymous,伊索,伊索,Aesop,Aesop,Aesop,Aesop,Aesop,1,
150,2,50,234,【常识】最早的血压计用于测量谁的血压？,【常識】最早的血壓計用於測量誰的血壓？,[Common sense] Whose blood pressure was the earliest sphygmomanometer used to measure?,,,,,马,馬,horse,horse,horse,horse,horse,牛,牛,Cattle,Cattle,Cattle,Cattle,Cattle,猪,豬,Pig,Pig,Pig,Pig,Pig,羊,羊,Sheep,Sheep,Sheep,Sheep,Sheep,1,
151,2,50,234,【常识】美国历史上第一所高等学府是,【常識】美國歷史上第一所高等學府是,[Common Sense] What was the first institution of higher learning in American history?,,,,,哈佛大学,哈佛大學,Harvard University,Harvard University,Harvard University,Harvard University,Harvard University,斯坦福大学,斯坦福大學,Stanford University,Stanford University,Stanford University,Stanford University,Stanford University,朱丽亚音乐学院,朱麗亞音樂學院,The Juilliard School,The Juilliard School,The Juilliard School,The Juilliard School,The Juilliard School,纽约大学,紐約大學,New York University,New York University,New York University,New York University,New York University,1,
152,2,50,234,【常识】最早的校园歌曲出现在,【常識】最早的校園歌曲出現在,[Common Sense] The earliest campus songs appeared in,,,,,日本,日本,Japan,Japan,Japan,Japan,Japan,韩国,韓國,Korea,Korea,Korea,Korea,Korea,中国,中國,China,China,China,China,China,美国,美國,United States,United States,United States,United States,United States,1,
153,2,50,238,【常识】《奥赛罗》出自谁手？,【常識】《奧賽羅》出自誰手？,[Common Sense] Who wrote "Othello" come from?,,,,,莎士比亚,莎士比亞,Shakespeare,Shakespeare,Shakespeare,Shakespeare,Shakespeare,荷马,荷馬,Homer,Homer,Homer,Homer,Homer,但丁,但丁,Dante,Dante,Dante,Dante,Dante,托尔斯泰,托爾斯泰,Tolstoy,Tolstoy,Tolstoy,Tolstoy,Tolstoy,1,
154,2,50,238,【常识】在狗的眼睛里世界是什么颜色的？,【常識】在狗的眼睛裏世界是什麽顏色的？,[Common sense] What color is the world in the eyes of a dog?,,,,,黑白灰色,黑白灰色,Black and white gray,Black and white gray,Black and white gray,Black and white gray,Black and white gray,红绿色,紅綠色,Red and Green,Red and Green,Red and Green,Red and Green,Red and Green,蓝橙色,藍橙色,Blue and Orange,Blue and Orange,Blue and Orange,Blue and Orange,Blue and Orange,彩色,彩色,Color,Color,Color,Color,Color,1,
155,2,50,238,【常识】世界第一枚邮票出现在？,【常識】世界第一枚郵票出現在？,[Common Sense] Where did the world's first stamp appear?,,,,,英国,英國,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,美国,美國,United States,United States,United States,United States,United States,德国,德國,Germany,Germany,Germany,Germany,Germany,法国,法國,France,France,France,France,France,1,
156,2,50,238,【常识】阿尔卑斯山脉的最高峰是？,【常識】阿爾卑斯山脈的最高峰是？,[Common Sense] What is the highest peak of the Alps?,,,,,勃朗峰,勃朗峰,Mont Blanc,Mont Blanc,Mont Blanc,Mont Blanc,Mont Blanc,马特洪峰,馬特洪峰,Matterhorn,Matterhorn,Matterhorn,Matterhorn,Matterhorn,杜富尔峰,杜富爾峰,Dufour Peak,Dufour Peak,Dufour Peak,Dufour Peak,Dufour Peak,魏斯峰,魏斯峰,Weisshorn,Weisshorn,Weisshorn,Weisshorn,Weisshorn,1,
157,2,50,242,【常识】有记录的世界上飞翔距离最远的是什么鸟？,【常識】有記錄的世界上飛翔距離最遠的是什麽鳥？,[Common sense] What kind of bird has the longest flight distance in the world record?,,,,,北极燕鸥,北極燕鷗,Sterna paradisaea,Sterna paradisaea,Sterna paradisaea,Sterna paradisaea,Sterna paradisaea,大雁,大雁,Wild goose,Wild goose,Wild goose,Wild goose,Wild goose,秃鹫,禿鷲,Vulture,Vulture,Vulture,Vulture,Vulture,白头鹰,白頭鷹,Bald Eagle,Bald Eagle,Bald Eagle,Bald Eagle,Bald Eagle,1,
158,2,50,242,【常识】日光灯是一种高压水银灯吗？,【常識】日光燈是一種高壓水銀燈嗎？,[Common sense] Is the fluorescent lamp a high-pressure mercury lamp?,,,,,不是,不是,Is not,Is not,Is not,Is not,Is not,是的,是的,Yes it is,Yes it is,Yes it is,Yes it is,Yes it is,有可能是也有可能不是,有可能是也有可能不是,It may or may not,It may or may not,It may or may not,It may or may not,It may or may not,无法考证,無法考證,Unable to verify,Unable to verify,Unable to verify,Unable to verify,Unable to verify,1,
